Wall time,Step,Value
1719931582,39450,-1.999588132
1719931796,78900,-1.999236107
1719932055,118350,-1.999794245
1719932261,157800,-1.999796629
1719933359,197250,-1.999796629
1719933563,236700,-1.999209285
1719933768,276150,-1.998831391
1719933988,315600,-1.999315619
1719934188,355050,-1.999090433
1719934393,394500,-1.998769641
1719934606,433950,-1.9976933
1719934818,473400,-1.995817065
1719935019,512850,-1.997585058
1719935212,552300,-1.99784708
1719935427,591750,-1.998229623
1719935646,631200,-1.998343706
1719935860,670650,-1.995971203
1719936058,710100,-1.989141703
1719936295,749550,0.230180502
1719936501,789000,0.25720495
1719936828,828450,0.273473352
1719937035,867900,0.287142873
1719937240,907350,0.263992608
1719937861,946800,0.213295639
1719938070,986250,-1.995859623
1719938300,1025700,-1.998084068
1719938513,1065150,-1.997050643
1719938710,1104600,-1.997630239
1719938916,1144050,-1.997687578
1719939125,1183500,-1.997536421
1719939330,1222950,-1.997436047
1719939536,1262400,-1.997343779
1719939753,1301850,-1.997293353
1719939955,1341300,-1.997592926
1719940172,1380750,-1.998170733
1719940394,1420200,-1.998429775
1719940615,1459650,-1.998544455
1719940821,1499100,-1.998491406
1719941020,1538550,-1.998194337
1719941258,1578000,-1.997989178
1719941477,1617450,-1.998742461
1719941695,1656900,-1.998838067
1719941899,1696350,-1.998725414
1719942103,1735800,-1.996311307
1719942304,1775250,-1.997552752
1719942521,1814700,-1.997723222
1719942740,1854150,-1.99803257
1719942944,1893600,-1.996826887
1719943164,1933050,-1.997089267
1719943382,1972500,-1.996484876
1719943610,2011950,-1.994496465
1719943823,2051400,-1.992342234
1719944033,2090850,-1.990424633
1719944240,2130300,-1.990195394
1719944468,2169750,-1.989743471
1719944701,2209200,-1.981859803
1719944901,2248650,-1.976373076
1719945105,2288100,-1.971181035
1719945309,2327550,-1.921035051
1719945508,2367000,-1.95385766
1719945737,2406450,-1.969979644
1719945947,2445900,-1.976230979
1719947703,2485350,-1.970738053
1719947907,2524800,0.244440228
1719948107,2564250,0.289827645
1719949947,2603700,0.276682407
1719950150,2643150,0.2536304
1719951650,2682600,0.228259131
1719951858,2722050,0.209008694
1719952065,2761500,0.196157336
1719952272,2800950,-1.994630456
1719952484,2840400,-1.97772789
1719952829,2879850,0.24253501
1719953040,2919300,0.268167436
1719953250,2958750,0.273437321
1719953452,2998200,0.275748104
1719953675,3037650,0.279248863
1719953886,3077100,0.281414062
1719954107,3116550,0.282649666
1719954322,3156000,0.300730377
1719954542,3195450,0.298723251
1719954763,3234900,0.288136333
1719955106,3274350,0.25933072
1719955324,3313800,-1.949898124
1719955532,3353250,-1.996948004
1719955743,3392700,-1.998371959
1719955962,3432150,-1.998748183
1719956161,3471600,-1.999057889
1719956369,3511050,-1.999206066
1719956596,3550500,-1.999266505
1719956794,3589950,-1.999321699
1719956996,3629400,-1.999335051
1719957207,3668850,-1.999273062
1719957417,3708300,0.275748104
1719957628,3747750,0.273437321
1719957839,3787200,0.281414062
1719958049,3826650,0.24253501
1719958260,3866100,0.287248863
1719958470,3905550,0.291549666
1719958681,3945000,0.310730377
